Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Trip Duration (hh:mm),Trip Duration (in mins),Trip Date,Request Time,Day Of Week,Is Weekend,Trip Completed,Driver Assigned,Trip Request Time Slot
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,01:09,69,11-07-2016,11:51 AM,Monday,No,Yes,Yes,Morning
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,00:50,50,11-07-2016,5:57 PM,Monday,No,Yes,Yes,Evening
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,00:41,41,12-07-2016,9:17 AM,Tuesday,No,Yes,Yes,Morning
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,00:55,55,12-07-2016,9:08 PM,Tuesday,No,Yes,Yes,Late Night
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,00:52,53,13-07-2016,8:33 AM,Wednesday,No,Yes,Yes,Morning
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,00:31,32,13-07-2016,9:57 PM,Wednesday,No,Yes,Yes,Late Night
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,00:57,58,14-07-2016,6:15 AM,Thursday,No,Yes,Yes,Morning
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,00:56,56,15-07-2016,5:11 AM,Friday,No,Yes,Yes,Night
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,00:53,53,15-07-2016,5:57 PM,Friday,No,Yes,Yes,Evening
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,00:39,39,11-07-2016,6:46 AM,Monday,No,Yes,Yes,Morning
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,00:54,54,12-07-2016,5:08 AM,Tuesday,No,Yes,Yes,Night
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,00:27,27,12-07-2016,12:30 PM,Tuesday,No,Yes,Yes,Afternoon
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,00:33,34,13-07-2016,4:49 AM,Wednesday,No,Yes,Yes,Night
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,01:13,73,13-07-2016,8:02 AM,Wednesday,No,Yes,Yes,Morning
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,01:12,72,13-07-2016,2:23 PM,Wednesday,No,Yes,Yes,Afternoon
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,00:57,58,13-07-2016,5:23 PM,Wednesday,No,Yes,Yes,Evening
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,00:35,36,14-07-2016,12:01 PM,Thursday,No,Yes,Yes,Afternoon
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,00:54,55,14-07-2016,10:24 PM,Thursday,No,Yes,Yes,Late Night
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,00:31,31,11-07-2016,10:00 AM,Monday,No,Yes,Yes,Morning
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,00:38,38,11-07-2016,6:45 PM,Monday,No,Yes,Yes,Evening
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,01:06,66,12-07-2016,11:17 AM,Tuesday,No,Yes,Yes,Morning
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,00:54,54,12-07-2016,3:46 PM,Tuesday,No,Yes,Yes,Afternoon
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,00:28,28,12-07-2016,6:00 PM,Tuesday,No,Yes,Yes,Evening
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,01:05,65,13-07-2016,8:17 AM,Wednesday,No,Yes,Yes,Morning
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,00:57,57,13-07-2016,9:54 PM,Wednesday,No,Yes,Yes,Late Night
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,01:02,62,14-07-2016,9:23 PM,Thursday,No,Yes,Yes,Late Night
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,00:43,43,15-07-2016,2:41 AM,Friday,No,Yes,Yes,Night
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,00:52,52,15-07-2016,10:00 AM,Friday,No,Yes,Yes,Morning
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,00:41,41,11-07-2016,1:08 PM,Monday,No,Yes,Yes,Afternoon
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,00:49,49,12-07-2016,6:21 AM,Tuesday,No,Yes,Yes,Morning
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,01:00,60,12-07-2016,9:27 AM,Tuesday,No,Yes,Yes,Morning
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,00:52,52,12-07-2016,4:09 PM,Tuesday,No,Yes,Yes,Afternoon
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,00:35,36,13-07-2016,5:34 AM,Wednesday,No,Yes,Yes,Night
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,00:34,34,13-07-2016,7:57 PM,Wednesday,No,Yes,Yes,Evening
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,01:04,64,14-07-2016,2:17 AM,Thursday,No,Yes,Yes,Night
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,00:44,44,14-07-2016,1:01 PM,Thursday,No,Yes,Yes,Afternoon
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,01:07,67,15-07-2016,8:30 AM,Friday,No,Yes,Yes,Morning
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,00:46,46,15-07-2016,3:01 PM,Friday,No,Yes,Yes,Afternoon
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,01:04,64,11-07-2016,7:27 AM,Monday,No,Yes,Yes,Morning
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,00:58,58,11-07-2016,11:03 AM,Monday,No,Yes,Yes,Morning
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,00:47,47,11-07-2016,8:58 PM,Monday,No,Yes,Yes,Evening
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,00:43,43,12-07-2016,8:40 AM,Tuesday,No,Yes,Yes,Morning
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,01:02,62,12-07-2016,2:48 PM,Tuesday,No,Yes,Yes,Afternoon
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,00:57,57,12-07-2016,9:32 PM,Tuesday,No,Yes,Yes,Late Night
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,01:01,62,13-07-2016,7:28 AM,Wednesday,No,Yes,Yes,Morning
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,00:32,32,13-07-2016,12:14 PM,Wednesday,No,Yes,Yes,Afternoon
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,01:06,67,14-07-2016,6:43 AM,Thursday,No,Yes,Yes,Morning
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,00:58,58,15-07-2016,9:08 AM,Friday,No,Yes,Yes,Morning
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,01:09,69,15-07-2016,10:41 PM,Friday,No,Yes,Yes,Late Night
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,00:43,43,12-07-2016,5:45 AM,Tuesday,No,Yes,Yes,Night
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,00:49,49,12-07-2016,1:02 PM,Tuesday,No,Yes,Yes,Afternoon
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,00:50,50,13-07-2016,6:50 AM,Wednesday,No,Yes,Yes,Morning
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,00:52,52,13-07-2016,9:53 PM,Wednesday,No,Yes,Yes,Late Night
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,00:53,53,14-07-2016,2:37 AM,Thursday,No,Yes,Yes,Night
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,00:48,48,14-07-2016,2:50 PM,Thursday,No,Yes,Yes,Afternoon
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,00:51,52,14-07-2016,9:33 PM,Thursday,No,Yes,Yes,Late Night
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,01:04,64,15-07-2016,12:03 AM,Friday,No,Yes,Yes,Night
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,00:46,46,15-07-2016,7:52 AM,Friday,No,Yes,Yes,Morning
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,01:05,65,15-07-2016,2:28 PM,Friday,No,Yes,Yes,Afternoon
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,01:10,70,11-07-2016,7:31 PM,Monday,No,Yes,Yes,Evening
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,01:05,65,11-07-2016,10:07 PM,Monday,No,Yes,Yes,Late Night
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,00:49,49,12-07-2016,8:39 PM,Tuesday,No,Yes,Yes,Evening
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,00:59,59,14-07-2016,3:39 AM,Thursday,No,Yes,Yes,Night
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,01:05,66,14-07-2016,9:11 AM,Thursday,No,Yes,Yes,Morning
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,00:58,58,14-07-2016,6:52 PM,Thursday,No,Yes,Yes,Evening
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,00:50,50,15-07-2016,9:50 AM,Friday,No,Yes,Yes,Morning
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,00:46,47,15-07-2016,3:50 PM,Friday,No,Yes,Yes,Afternoon
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,01:00,60,11-07-2016,8:18 AM,Monday,No,Yes,Yes,Morning
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,00:51,51,11-07-2016,7:39 PM,Monday,No,Yes,Yes,Evening
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,00:27,27,12-07-2016,8:57 AM,Tuesday,No,Yes,Yes,Morning
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,01:15,75,12-07-2016,9:05 PM,Tuesday,No,Yes,Yes,Late Night
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,00:44,45,13-07-2016,10:22 AM,Wednesday,No,Yes,Yes,Morning
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,01:04,64,14-07-2016,11:55 AM,Thursday,No,Yes,Yes,Morning
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,00:44,44,11-07-2016,9:08 AM,Monday,No,Yes,Yes,Morning
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,01:06,66,11-07-2016,5:46 PM,Monday,No,Yes,Yes,Evening
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,00:44,44,11-07-2016,11:39 PM,Monday,No,Yes,Yes,Late Night
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,00:43,43,12-07-2016,5:13 AM,Tuesday,No,Yes,Yes,Night
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,00:34,34,12-07-2016,6:20 PM,Tuesday,No,Yes,Yes,Evening
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,00:31,32,13-07-2016,8:04 AM,Wednesday,No,Yes,Yes,Morning
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,00:28,28,13-07-2016,5:03 PM,Wednesday,No,Yes,Yes,Evening
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,00:46,46,13-07-2016,8:41 PM,Wednesday,No,Yes,Yes,Evening
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,00:59,60,13-07-2016,11:58 PM,Wednesday,No,Yes,Yes,Late Night
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,00:45,45,14-07-2016,4:21 AM,Thursday,No,Yes,Yes,Night
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,01:03,64,14-07-2016,5:58 PM,Thursday,No,Yes,Yes,Evening
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,00:38,38,15-07-2016,5:47 AM,Friday,No,Yes,Yes,Night
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,00:40,41,15-07-2016,11:51 AM,Friday,No,Yes,Yes,Morning
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,00:48,48,12-07-2016,9:13 AM,Tuesday,No,Yes,Yes,Morning
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,01:06,66,12-07-2016,3:08 PM,Tuesday,No,Yes,Yes,Afternoon
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,01:05,66,13-07-2016,9:47 AM,Wednesday,No,Yes,Yes,Morning
